# of Geofences,Geofence Service Recieved,Carer Device Recieved
1.000000000000000000e+00,1.213867187500000000e+01,2.783203125000000000e+00
1.000000000000000000e+00,1.213964843750000000e+01,2.783203125000000000e+00
1.000000000000000000e+00,1.213867187500000000e+01,2.783203125000000000e+00
1.000000000000000000e+00,1.213574218750000000e+01,2.784179687500000000e+00
1.000000000000000000e+00,1.213964843750000000e+01,2.783203125000000000e+00
1.000000000000000000e+00,1.213671875000000000e+01,2.783203125000000000e+00
1.000000000000000000e+00,1.214062500000000000e+01,2.782226562500000000e+00
1.000000000000000000e+00,1.213964843750000000e+01,2.783203125000000000e+00
1.000000000000000000e+00,1.213867187500000000e+01,2.784179687500000000e+00
1.000000000000000000e+00,1.213964843750000000e+01,2.784179687500000000e+00
1.000000000000000000e+00,1.213964843750000000e+01,2.783203125000000000e+00
1.000000000000000000e+00,1.213769531250000000e+01,2.783203125000000000e+00
1.000000000000000000e+00,1.213867187500000000e+01,2.783203125000000000e+00
1.000000000000000000e+00,1.213867187500000000e+01,2.783203125000000000e+00
1.000000000000000000e+00,1.213964843750000000e+01,2.782226562500000000e+00
1.000000000000000000e+00,1.213867187500000000e+01,2.783203125000000000e+00
1.000000000000000000e+00,1.213671875000000000e+01,2.784179687500000000e+00
1.000000000000000000e+00,1.213769531250000000e+01,2.783203125000000000e+00
1.000000000000000000e+00,1.213867187500000000e+01,2.783203125000000000e+00
1.000000000000000000e+00,1.214160156250000000e+01,2.782226562500000000e+00
1.000000000000000000e+00,1.213964843750000000e+01,2.782226562500000000e+00
1.000000000000000000e+00,1.213769531250000000e+01,2.782226562500000000e+00
1.000000000000000000e+00,1.213964843750000000e+01,2.783203125000000000e+00
1.000000000000000000e+00,1.213769531250000000e+01,2.783203125000000000e+00
1.000000000000000000e+00,1.213769531250000000e+01,2.782226562500000000e+00
1.000000000000000000e+00,1.214160156250000000e+01,2.783203125000000000e+00
1.000000000000000000e+00,1.213867187500000000e+01,2.783203125000000000e+00
1.000000000000000000e+00,1.213964843750000000e+01,2.783203125000000000e+00
1.000000000000000000e+00,1.213867187500000000e+01,2.784179687500000000e+00
1.000000000000000000e+00,1.213867187500000000e+01,2.783203125000000000e+00
1.000000000000000000e+01,1.213867187500000000e+01,1.934082031250000000e+01
1.000000000000000000e+01,1.213964843750000000e+01,1.934375000000000000e+01
1.000000000000000000e+01,1.213867187500000000e+01,1.934375000000000000e+01
1.000000000000000000e+01,1.213964843750000000e+01,1.934277343750000000e+01
1.000000000000000000e+01,1.213964843750000000e+01,1.934375000000000000e+01
1.000000000000000000e+01,1.214160156250000000e+01,1.934375000000000000e+01
1.000000000000000000e+01,1.214160156250000000e+01,1.934179687500000000e+01
1.000000000000000000e+01,1.213867187500000000e+01,1.934082031250000000e+01
1.000000000000000000e+01,1.213671875000000000e+01,1.934570312500000000e+01
1.000000000000000000e+01,1.214062500000000000e+01,1.934179687500000000e+01
1.000000000000000000e+01,1.214160156250000000e+01,1.934472656250000000e+01
1.000000000000000000e+01,1.213867187500000000e+01,1.934472656250000000e+01
1.000000000000000000e+01,1.213964843750000000e+01,1.934277343750000000e+01
1.000000000000000000e+01,1.213964843750000000e+01,1.934375000000000000e+01
1.000000000000000000e+01,1.213964843750000000e+01,1.934375000000000000e+01
1.000000000000000000e+01,1.214062500000000000e+01,1.934375000000000000e+01
1.000000000000000000e+01,1.214062500000000000e+01,1.934472656250000000e+01
1.000000000000000000e+01,1.214257812500000000e+01,1.934472656250000000e+01
1.000000000000000000e+01,1.213964843750000000e+01,1.934472656250000000e+01
1.000000000000000000e+01,1.214257812500000000e+01,1.934375000000000000e+01
1.000000000000000000e+01,1.213867187500000000e+01,1.934179687500000000e+01
1.000000000000000000e+01,1.213867187500000000e+01,1.934472656250000000e+01
1.000000000000000000e+01,1.214160156250000000e+01,1.934179687500000000e+01
1.000000000000000000e+01,1.213964843750000000e+01,1.934375000000000000e+01
1.000000000000000000e+01,1.214062500000000000e+01,1.934375000000000000e+01
1.000000000000000000e+01,1.214062500000000000e+01,1.934375000000000000e+01
1.000000000000000000e+01,1.213964843750000000e+01,1.934082031250000000e+01
1.000000000000000000e+01,1.214160156250000000e+01,1.934277343750000000e+01
1.000000000000000000e+01,1.213867187500000000e+01,1.934277343750000000e+01
1.000000000000000000e+01,1.213964843750000000e+01,1.934277343750000000e+01
1.000000000000000000e+02,1.213964843750000000e+01,1.849277343750000000e+02
1.000000000000000000e+02,1.214062500000000000e+01,1.849208984375000000e+02
1.000000000000000000e+02,1.214062500000000000e+01,1.849248046875000000e+02
1.000000000000000000e+02,1.214160156250000000e+01,1.849287109375000000e+02
1.000000000000000000e+02,1.214062500000000000e+01,1.849365234375000000e+02
1.000000000000000000e+02,1.214062500000000000e+01,1.849335937500000000e+02
1.000000000000000000e+02,1.213964843750000000e+01,1.849326171875000000e+02
1.000000000000000000e+02,1.214160156250000000e+01,1.849287109375000000e+02
1.000000000000000000e+02,1.214257812500000000e+01,1.849296875000000000e+02
1.000000000000000000e+02,1.214160156250000000e+01,1.849326171875000000e+02
1.000000000000000000e+02,1.214062500000000000e+01,1.849355468750000000e+02
1.000000000000000000e+02,1.214062500000000000e+01,1.849365234375000000e+02
1.000000000000000000e+02,1.214257812500000000e+01,1.849248046875000000e+02
1.000000000000000000e+02,1.214453125000000000e+01,1.849296875000000000e+02
1.000000000000000000e+02,1.214160156250000000e+01,1.849277343750000000e+02
1.000000000000000000e+02,1.213964843750000000e+01,1.849287109375000000e+02
1.000000000000000000e+02,1.214062500000000000e+01,1.849365234375000000e+02
1.000000000000000000e+02,1.213769531250000000e+01,1.849335937500000000e+02
1.000000000000000000e+02,1.213964843750000000e+01,1.849335937500000000e+02
1.000000000000000000e+02,1.214160156250000000e+01,1.849287109375000000e+02
1.000000000000000000e+02,1.214062500000000000e+01,1.849287109375000000e+02
1.000000000000000000e+02,1.214160156250000000e+01,1.849345703125000000e+02
1.000000000000000000e+02,1.214160156250000000e+01,1.849316406250000000e+02
1.000000000000000000e+02,1.214062500000000000e+01,1.849355468750000000e+02
1.000000000000000000e+02,1.213964843750000000e+01,1.849443359375000000e+02
1.000000000000000000e+02,1.214257812500000000e+01,1.849355468750000000e+02
1.000000000000000000e+02,1.214160156250000000e+01,1.849375000000000000e+02
1.000000000000000000e+02,1.214160156250000000e+01,1.849316406250000000e+02
1.000000000000000000e+02,1.213964843750000000e+01,1.849306640625000000e+02
1.000000000000000000e+02,1.214160156250000000e+01,1.849433593750000000e+02
2.000000000000000000e+02,1.214257812500000000e+01,3.689345703125000000e+02
2.000000000000000000e+02,1.213867187500000000e+01,3.689208984375000000e+02
2.000000000000000000e+02,1.214160156250000000e+01,3.689218750000000000e+02
2.000000000000000000e+02,1.214062500000000000e+01,3.689306640625000000e+02
2.000000000000000000e+02,1.214160156250000000e+01,3.689150390625000000e+02
2.000000000000000000e+02,1.214160156250000000e+01,3.689218750000000000e+02
2.000000000000000000e+02,1.214257812500000000e+01,3.689169921875000000e+02
2.000000000000000000e+02,1.214062500000000000e+01,3.689267578125000000e+02
2.000000000000000000e+02,1.214062500000000000e+01,3.689267578125000000e+02
2.000000000000000000e+02,1.214257812500000000e+01,3.689248046875000000e+02
2.000000000000000000e+02,1.214257812500000000e+01,3.689169921875000000e+02
2.000000000000000000e+02,1.213964843750000000e+01,3.689296875000000000e+02
2.000000000000000000e+02,1.214062500000000000e+01,3.689189453125000000e+02
2.000000000000000000e+02,1.214160156250000000e+01,3.689287109375000000e+02
2.000000000000000000e+02,1.214355468750000000e+01,3.689052734375000000e+02
2.000000000000000000e+02,1.214160156250000000e+01,3.689238281250000000e+02
2.000000000000000000e+02,1.214062500000000000e+01,3.689208984375000000e+02
2.000000000000000000e+02,1.213867187500000000e+01,3.689199218750000000e+02
2.000000000000000000e+02,1.214453125000000000e+01,3.689199218750000000e+02
2.000000000000000000e+02,1.214062500000000000e+01,3.689189453125000000e+02
2.000000000000000000e+02,1.214062500000000000e+01,3.689277343750000000e+02
2.000000000000000000e+02,1.214257812500000000e+01,3.689238281250000000e+02
2.000000000000000000e+02,1.214062500000000000e+01,3.689218750000000000e+02
2.000000000000000000e+02,1.214160156250000000e+01,3.689169921875000000e+02
2.000000000000000000e+02,1.213964843750000000e+01,3.689375000000000000e+02
2.000000000000000000e+02,1.214062500000000000e+01,3.689287109375000000e+02
2.000000000000000000e+02,1.213867187500000000e+01,3.689335937500000000e+02
2.000000000000000000e+02,1.214160156250000000e+01,3.689160156250000000e+02
