# of Geofences,Runtime Encrypt,Runtime Compute,Runtime Evaluate,Runtime Total
1.000000000000000000e+00,7.457106113433837891e-01,4.487252235412597656e-02,7.131457328796386719e-02,8.618977069854736328e-01
1.000000000000000000e+00,7.810187339782714844e-01,4.541540145874023438e-02,6.713175773620605469e-02,8.935658931732177734e-01
1.000000000000000000e+00,7.485837936401367188e-01,4.943823814392089844e-02,6.891345977783203125e-02,8.669354915618896484e-01
1.000000000000000000e+00,7.641878128051757812e-01,4.299235343933105469e-02,6.873440742492675781e-02,8.759145736694335938e-01
1.000000000000000000e+00,7.507383823394775391e-01,4.296207427978515625e-02,6.663441658020019531e-02,8.603348731994628906e-01
1.000000000000000000e+00,7.452802658081054688e-01,4.391169548034667969e-02,6.857848167419433594e-02,8.577704429626464844e-01
1.000000000000000000e+00,7.698175907135009766e-01,5.412387847900390625e-02,6.702113151550292969e-02,8.909626007080078125e-01
1.000000000000000000e+00,7.368717193603515625e-01,4.464292526245117188e-02,6.992888450622558594e-02,8.514435291290283203e-01
1.000000000000000000e+00,7.674875259399414062e-01,8.323502540588378906e-02,6.699490547180175781e-02,9.177174568176269531e-01
1.000000000000000000e+00,7.671828269958496094e-01,4.277634620666503906e-02,6.726765632629394531e-02,8.772268295288085938e-01
1.000000000000000000e+00,7.832677364349365234e-01,4.389238357543945312e-02,7.311987876892089844e-02,9.002799987792968750e-01
1.000000000000000000e+00,7.698268890380859375e-01,4.397416114807128906e-02,6.860160827636718750e-02,8.824026584625244141e-01
1.000000000000000000e+00,7.294347286224365234e-01,4.339909553527832031e-02,6.791186332702636719e-02,8.407456874847412109e-01
1.000000000000000000e+00,7.377631664276123047e-01,4.617881774902343750e-02,8.040833473205566406e-02,8.643503189086914062e-01
1.000000000000000000e+00,7.536549568176269531e-01,4.466533660888671875e-02,6.780219078063964844e-02,8.661224842071533203e-01
1.000000000000000000e+00,8.003008365631103516e-01,4.763889312744140625e-02,6.991195678710937500e-02,9.178516864776611328e-01
1.000000000000000000e+00,7.524704933166503906e-01,4.600024223327636719e-02,6.858539581298828125e-02,8.670561313629150391e-01
1.000000000000000000e+00,7.358407974243164062e-01,4.394054412841796875e-02,6.826424598693847656e-02,8.480455875396728516e-01
1.000000000000000000e+00,7.644782066345214844e-01,4.886245727539062500e-02,6.691169738769531250e-02,8.802523612976074219e-01
1.000000000000000000e+00,7.616178989410400391e-01,4.405879974365234375e-02,7.797026634216308594e-02,8.836469650268554688e-01
1.000000000000000000e+00,8.007407188415527344e-01,4.345345497131347656e-02,6.715369224548339844e-02,9.113478660583496094e-01
1.000000000000000000e+00,7.701539993286132812e-01,4.255962371826171875e-02,6.792497634887695312e-02,8.806385993957519531e-01
1.000000000000000000e+00,7.307548522949218750e-01,4.352092742919921875e-02,6.741762161254882812e-02,8.416934013366699219e-01
1.000000000000000000e+00,7.531502246856689453e-01,4.587626457214355469e-02,6.795978546142578125e-02,8.669862747192382812e-01
1.000000000000000000e+00,8.169925212860107422e-01,4.354333877563476562e-02,6.745958328247070312e-02,9.279954433441162109e-01
1.000000000000000000e+00,7.509891986846923828e-01,4.341125488281250000e-02,6.784057617187500000e-02,8.622410297393798828e-01
1.000000000000000000e+00,7.724795341491699219e-01,5.230093002319335938e-02,6.814146041870117188e-02,8.929219245910644531e-01
1.000000000000000000e+00,7.478518486022949219e-01,4.321646690368652344e-02,6.730461120605468750e-02,8.583729267120361328e-01
1.000000000000000000e+00,7.505636215209960938e-01,4.378271102905273438e-02,6.724405288696289062e-02,8.615903854370117188e-01
1.000000000000000000e+00,7.519888877868652344e-01,4.338312149047851562e-02,6.675291061401367188e-02,8.621249198913574219e-01
1.000000000000000000e+01,7.471952438354492188e-01,4.251763820648193359e-01,6.875374317169189453e-01,1.859909057617187500e+00
1.000000000000000000e+01,7.398641109466552734e-01,4.329600334167480469e-01,6.712174415588378906e-01,1.844041585922241211e+00
1.000000000000000000e+01,7.565932273864746094e-01,4.473876953125000000e-01,7.213654518127441406e-01,1.925346374511718750e+00
1.000000000000000000e+01,7.465245723724365234e-01,4.337561130523681641e-01,6.747033596038818359e-01,1.854984045028686523e+00
1.000000000000000000e+01,7.833859920501708984e-01,4.244697093963623047e-01,6.755404472351074219e-01,1.883396148681640625e+00
1.000000000000000000e+01,8.078572750091552734e-01,4.763832092285156250e-01,7.070195674896240234e-01,1.991260051727294922e+00
1.000000000000000000e+01,7.861964702606201172e-01,4.428596496582031250e-01,7.026476860046386719e-01,1.931703805923461914e+00
1.000000000000000000e+01,7.515039443969726562e-01,4.412231445312500000e-01,6.709959506988525391e-01,1.863723039627075195e+00
1.000000000000000000e+01,7.507226467132568359e-01,4.297549724578857422e-01,6.706595420837402344e-01,1.851137161254882812e+00
1.000000000000000000e+01,7.368922233581542969e-01,4.493196010589599609e-01,7.475671768188476562e-01,1.933779001235961914e+00
1.000000000000000000e+01,7.528779506683349609e-01,4.292402267456054688e-01,6.708693504333496094e-01,1.852987527847290039e+00
1.000000000000000000e+01,7.449469566345214844e-01,4.247164726257324219e-01,6.906070709228515625e-01,1.860270500183105469e+00
1.000000000000000000e+01,7.518823146820068359e-01,4.798722267150878906e-01,6.959295272827148438e-01,1.927684068679809570e+00
1.000000000000000000e+01,7.928681373596191406e-01,4.252076148986816406e-01,6.841588020324707031e-01,1.902234554290771484e+00
1.000000000000000000e+01,7.359127998352050781e-01,4.750416278839111328e-01,7.253799438476562500e-01,1.936334371566772461e+00
1.000000000000000000e+01,7.691509723663330078e-01,4.535639286041259766e-01,7.498986721038818359e-01,1.972613573074340820e+00
