# of Geofences,Runtime Encrypt,Runtime Compute,Runtime Evaluate,Runtime Total
1.000000000000000000e+00,1.560970306396484375e+00,4.590702056884765625e-02,6.719064712524414062e-02,1.674067974090576172e+00
1.000000000000000000e+00,1.486157417297363281e+00,4.865980148315429688e-02,6.678605079650878906e-02,1.601603269577026367e+00
1.000000000000000000e+00,1.515030622482299805e+00,4.669380187988281250e-02,6.780719757080078125e-02,1.629531621932983398e+00
1.000000000000000000e+00,1.485545396804809570e+00,5.145478248596191406e-02,6.715703010559082031e-02,1.604157209396362305e+00
1.000000000000000000e+00,1.480163097381591797e+00,4.744696617126464844e-02,6.691837310791015625e-02,1.594528436660766602e+00
1.000000000000000000e+00,1.550082921981811523e+00,4.687094688415527344e-02,6.682157516479492188e-02,1.663775444030761719e+00
1.000000000000000000e+00,1.476712226867675781e+00,5.220556259155273438e-02,6.749105453491210938e-02,1.596408843994140625e+00
1.000000000000000000e+00,1.614762544631958008e+00,4.716730117797851562e-02,6.709527969360351562e-02,1.729025125503540039e+00
1.000000000000000000e+00,1.469681262969970703e+00,4.882884025573730469e-02,9.699606895446777344e-02,1.615506172180175781e+00
1.000000000000000000e+00,1.475021123886108398e+00,6.171178817749023438e-02,6.742763519287109375e-02,1.604160547256469727e+00
1.000000000000000000e+00,1.502665281295776367e+00,4.957938194274902344e-02,6.789445877075195312e-02,1.620139122009277344e+00
1.000000000000000000e+00,1.491138219833374023e+00,5.639028549194335938e-02,6.662964820861816406e-02,1.614158153533935547e+00
1.000000000000000000e+00,1.540998220443725586e+00,5.958509445190429688e-02,6.759214401245117188e-02,1.668175458908081055e+00
1.000000000000000000e+00,1.498973846435546875e+00,4.749393463134765625e-02,6.951189041137695312e-02,1.615979671478271484e+00
1.000000000000000000e+00,1.465178966522216797e+00,4.698777198791503906e-02,6.722903251647949219e-02,1.579395771026611328e+00
1.000000000000000000e+00,1.513296604156494141e+00,4.531693458557128906e-02,7.021713256835937500e-02,1.628830671310424805e+00
1.000000000000000000e+00,1.489099502563476562e+00,5.083060264587402344e-02,6.752443313598632812e-02,1.607454538345336914e+00
1.000000000000000000e+00,1.606465101242065430e+00,4.702091217041015625e-02,6.842875480651855469e-02,1.721914768218994141e+00
1.000000000000000000e+00,1.518406867980957031e+00,5.392169952392578125e-02,6.729483604431152344e-02,1.639623403549194336e+00
1.000000000000000000e+00,1.488753080368041992e+00,4.681682586669921875e-02,7.991695404052734375e-02,1.615486860275268555e+00
1.000000000000000000e+00,1.510352611541748047e+00,4.701209068298339844e-02,6.737422943115234375e-02,1.624738931655883789e+00
1.000000000000000000e+00,1.482295751571655273e+00,5.414915084838867188e-02,6.899881362915039062e-02,1.605443716049194336e+00
1.000000000000000000e+00,1.529839754104614258e+00,5.654239654541015625e-02,6.746029853820800781e-02,1.653842449188232422e+00
1.000000000000000000e+00,1.527938127517700195e+00,5.276870727539062500e-02,6.708669662475585938e-02,1.647793531417846680e+00
1.000000000000000000e+00,1.511694669723510742e+00,4.548478126525878906e-02,7.001566886901855469e-02,1.627195119857788086e+00
1.000000000000000000e+00,1.525065422058105469e+00,9.038543701171875000e-02,6.774091720581054688e-02,1.683191776275634766e+00
1.000000000000000000e+00,1.494145870208740234e+00,5.089378356933593750e-02,7.031035423278808594e-02,1.615350008010864258e+00
1.000000000000000000e+00,1.569123983383178711e+00,4.933571815490722656e-02,6.748127937316894531e-02,1.685940980911254883e+00
1.000000000000000000e+00,1.481367826461791992e+00,4.775309562683105469e-02,6.783413887023925781e-02,1.596955060958862305e+00
1.000000000000000000e+00,1.532748699188232422e+00,4.727077484130859375e-02,6.743311882019042969e-02,1.647452592849731445e+00
1.000000000000000000e+01,1.505797386169433594e+00,4.875133037567138672e-01,6.813211441040039062e-01,2.674631834030151367e+00
1.000000000000000000e+01,1.515487909317016602e+00,4.893910884857177734e-01,6.910235881805419922e-01,2.695902585983276367e+00
1.000000000000000000e+01,1.490815401077270508e+00,4.580399990081787109e-01,6.989164352416992188e-01,2.647771835327148438e+00
1.000000000000000000e+01,1.510746002197265625e+00,4.515998363494873047e-01,6.709764003753662109e-01,2.633322238922119141e+00
1.000000000000000000e+01,1.580388784408569336e+00,4.597477912902832031e-01,7.441864013671875000e-01,2.784322977066040039e+00
1.000000000000000000e+01,1.520161390304565430e+00,4.548537731170654297e-01,6.854279041290283203e-01,2.660443067550659180e+00
1.000000000000000000e+01,1.493153333663940430e+00,5.115911960601806641e-01,6.707270145416259766e-01,2.675471544265747070e+00
1.000000000000000000e+01,1.491115570068359375e+00,5.464098453521728516e-01,6.839880943298339844e-01,2.721513509750366211e+00
1.000000000000000000e+01,1.472926616668701172e+00,4.517383575439453125e-01,6.865236759185791016e-01,2.611188650131225586e+00
1.000000000000000000e+01,1.486288785934448242e+00,4.853868484497070312e-01,6.820678710937500000e-01,2.653743505477905273e+00
1.000000000000000000e+01,1.490640401840209961e+00,4.667084217071533203e-01,7.103941440582275391e-01,2.667742967605590820e+00
1.000000000000000000e+01,1.516901493072509766e+00,4.595644474029541016e-01,7.216439247131347656e-01,2.698109865188598633e+00
1.000000000000000000e+01,1.514479637145996094e+00,4.579834938049316406e-01,7.118577957153320312e-01,2.684320926666259766e+00
1.000000000000000000e+01,1.542883634567260742e+00,4.507632255554199219e-01,7.831742763519287109e-01,2.776821136474609375e+00
1.000000000000000000e+01,1.510242462158203125e+00,5.279164314270019531e-01,6.770663261413574219e-01,2.715225219726562500e+00
1.000000000000000000e+01,1.501189947128295898e+00,4.535918235778808594e-01,7.006483078002929688e-01,2.655430078506469727e+00
1.000000000000000000e+01,1.531727313995361328e+00,4.607126712799072266e-01,6.833508014678955078e-01,2.675790786743164062e+00
1.000000000000000000e+01,1.493879079818725586e+00,4.566285610198974609e-01,6.929969787597656250e-01,2.643504619598388672e+00
1.000000000000000000e+01,1.511337041854858398e+00,4.527065753936767578e-01,6.832520961761474609e-01,2.647295713424682617e+00
1.000000000000000000e+01,1.525609731674194336e+00,4.687490463256835938e-01,7.167451381683349609e-01,2.711103916168212891e+00
1.000000000000000000e+01,1.531816720962524414e+00,4.736728668212890625e-01,6.712296009063720703e-01,2.676719188690185547e+00
1.000000000000000000e+01,1.563334465026855469e+00,4.480392932891845703e-01,6.897048950195312500e-01,2.701078653335571289e+00
1.000000000000000000e+01,1.503994464874267578e+00,5.986952781677246094e-01,6.736912727355957031e-01,2.776381015777587891e+00
1.000000000000000000e+01,1.498337507247924805e+00,4.654250144958496094e-01,6.705541610717773438e-01,2.634316682815551758e+00
1.000000000000000000e+01,1.542397737503051758e+00,4.536089897155761719e-01,6.767494678497314453e-01,2.672756195068359375e+00
1.000000000000000000e+01,1.503846406936645508e+00,4.585106372833251953e-01,6.802189350128173828e-01,2.642575979232788086e+00
1.000000000000000000e+01,1.564927577972412109e+00,4.502704143524169922e-01,7.197895050048828125e-01,2.734987497329711914e+00
1.000000000000000000e+01,1.561873674392700195e+00,4.546656608581542969e-01,6.751272678375244141e-01,2.691666603088378906e+00
1.000000000000000000e+01,1.478056907653808594e+00,4.868116378784179688e-01,6.976718902587890625e-01,2.662540435791015625e+00
1.000000000000000000e+01,1.508082151412963867e+00,4.600484371185302734e-01,6.755635738372802734e-01,2.643694162368774414e+00
1.000000000000000000e+02,1.488076686859130859e+00,4.689448833465576172e+00,6.883800268173217773e+00,1.306132578849792480e+01
1.000000000000000000e+02,1.523794412612915039e+00,4.728647470474243164e+00,6.918873786926269531e+00,1.317131567001342773e+01
1.000000000000000000e+02,1.519086837768554688e+00,4.781029701232910156e+00,7.023565053939819336e+00,1.332368159294128418e+01
1.000000000000000000e+02,1.582255363464355469e+00,4.697670221328735352e+00,6.929433107376098633e+00,1.320935869216918945e+01
1.000000000000000000e+02,1.582746982574462891e+00,4.870982646942138672e+00,6.927258491516113281e+00,1.338098812103271484e+01
1.000000000000000000e+02,1.532601833343505859e+00,4.849835157394409180e+00,6.946450710296630859e+00,1.332888770103454590e+01
1.000000000000000000e+02,1.497561931610107422e+00,4.682314395904541016e+00,6.934926271438598633e+00,1.311480259895324707e+01
1.000000000000000000e+02,1.558720111846923828e+00,4.716926574707031250e+00,6.930917978286743164e+00,1.320656466484069824e+01
1.000000000000000000e+02,1.499057769775390625e+00,4.784383773803710938e+00,6.952730894088745117e+00,1.323617243766784668e+01
1.000000000000000000e+02,1.526828289031982422e+00,4.658784627914428711e+00,6.900197029113769531e+00,1.308580994606018066e+01
1.000000000000000000e+02,1.542515039443969727e+00,4.734970092773437500e+00,6.921579122543334961e+00,1.319906425476074219e+01
1.000000000000000000e+02,1.559857845306396484e+00,4.707735300064086914e+00,6.936397075653076172e+00,1.320399022102355957e+01
1.000000000000000000e+02,1.499484300613403320e+00,4.787289381027221680e+00,6.952305793762207031e+00,1.323907947540283203e+01
1.000000000000000000e+02,1.604200839996337891e+00,4.750798940658569336e+00,6.909798383712768555e+00,1.326479816436767578e+01
1.000000000000000000e+02,1.508297443389892578e+00,4.690499782562255859e+00,6.944395065307617188e+00,1.314319229125976562e+01
1.000000000000000000e+02,1.576772451400756836e+00,4.783001899719238281e+00,6.909639835357666016e+00,1.326941418647766113e+01
1.000000000000000000e+02,1.617533683776855469e+00,4.775286436080932617e+00,6.943580627441406250e+00,1.333640074729919434e+01
1.000000000000000000e+02,1.513633489608764648e+00,4.755328178405761719e+00,6.998965024948120117e+00,1.326792669296264648e+01
1.000000000000000000e+02,1.544430732727050781e+00,4.713712930679321289e+00,7.004110574722290039e+00,1.326225423812866211e+01
1.000000000000000000e+02,1.525366067886352539e+00,4.654456615447998047e+00,6.913054466247558594e+00,1.309287714958190918e+01
1.000000000000000000e+02,1.550905227661132812e+00,4.820822715759277344e+00,6.933285951614379883e+00,1.330501389503479004e+01
1.000000000000000000e+02,1.551186084747314453e+00,4.651731967926025391e+00,6.958099842071533203e+00,1.316101789474487305e+01
1.000000000000000000e+02,1.539358139038085938e+00,4.771106719970703125e+00,6.941512584686279297e+00,1.325197744369506836e+01
1.000000000000000000e+02,1.536718368530273438e+00,4.645501136779785156e+00,6.946427822113037109e+00,1.312864732742309570e+01
1.000000000000000000e+02,1.549890518188476562e+00,4.661374092102050781e+00,6.888308286666870117e+00,1.309957289695739746e+01
1.000000000000000000e+02,1.530982971191406250e+00,4.715348958969116211e+00,7.010273218154907227e+00,1.325660514831542969e+01
1.000000000000000000e+02,1.536582231521606445e+00,4.717516422271728516e+00,7.088235378265380859e+00,1.334233403205871582e+01
1.000000000000000000e+02,1.490192890167236328e+00,4.705373764038085938e+00,6.959971904754638672e+00,1.315553855895996094e+01
1.000000000000000000e+02,1.549601316452026367e+00,4.736155033111572266e+00,7.005685329437255859e+00,1.329144167900085449e+01
1.000000000000000000e+02,1.507541418075561523e+00,4.668702125549316406e+00,7.022981166839599609e+00,1.319922471046447754e+01
2.000000000000000000e+02,1.579017639160156250e+00,9.482634782791137695e+00,1.392802810668945312e+01,2.498968052864074707e+01
2.000000000000000000e+02,1.570948123931884766e+00,9.409042596817016602e+00,1.394614934921264648e+01,2.492614006996154785e+01
