# of Queries,Total Runtime,Throughput,Latency
1.000000000000000000e+00,3.612060070037841797e+00,2.768503238069137118e-01,3.612060070037841797e+00
1.000000000000000000e+00,3.683905839920043945e+00,2.714510205889801298e-01,3.683905839920043945e+00
1.000000000000000000e+00,3.679195880889892578e+00,2.717985213002925282e-01,3.679195880889892578e+00
1.000000000000000000e+00,3.702718734741210938e+00,2.700718233381806388e-01,3.702718734741210938e+00
1.000000000000000000e+00,3.629170656204223633e+00,2.755450472659523031e-01,3.629170656204223633e+00
1.000000000000000000e+00,3.745121717453002930e+00,2.670140186204906230e-01,3.745121717453002930e+00
1.000000000000000000e+00,3.688741445541381836e+00,2.710951729101832020e-01,3.688741445541381836e+00
1.000000000000000000e+00,3.692534446716308594e+00,2.708167017613819505e-01,3.692534446716308594e+00
1.000000000000000000e+00,3.759078264236450195e+00,2.660226602659260253e-01,3.759078264236450195e+00
1.000000000000000000e+00,3.762377500534057617e+00,2.657893844671496142e-01,3.762377500534057617e+00
1.000000000000000000e+00,3.674049854278564453e+00,2.721792135823806746e-01,3.674049854278564453e+00
1.000000000000000000e+00,3.636295795440673828e+00,2.750051305655161760e-01,3.636295795440673828e+00
1.000000000000000000e+00,3.575425863265991211e+00,2.796869626843681567e-01,3.575425863265991211e+00
1.000000000000000000e+00,3.620520591735839844e+00,2.762033731509741519e-01,3.620520591735839844e+00
1.000000000000000000e+00,3.666615962982177734e+00,2.727310441278577580e-01,3.666615962982177734e+00
1.000000000000000000e+00,3.685081005096435547e+00,2.713644553856505715e-01,3.685081005096435547e+00
1.000000000000000000e+00,3.583929061889648438e+00,2.790233798524862086e-01,3.583929061889648438e+00
1.000000000000000000e+00,3.703124046325683594e+00,2.700422636374335550e-01,3.703124046325683594e+00
1.000000000000000000e+00,3.625539064407348633e+00,2.758210523276945492e-01,3.625539064407348633e+00
1.000000000000000000e+00,3.705538749694824219e+00,2.698662913948360886e-01,3.705538749694824219e+00
1.000000000000000000e+00,3.661083698272705078e+00,2.731431680930427319e-01,3.661083698272705078e+00
1.000000000000000000e+00,3.572327852249145508e+00,2.799295141319119717e-01,3.572327852249145508e+00
1.000000000000000000e+00,3.633311510086059570e+00,2.752310109452502651e-01,3.633311510086059570e+00
1.000000000000000000e+00,3.653144836425781250e+00,2.737367514227536103e-01,3.653144836425781250e+00
1.000000000000000000e+00,3.698036432266235352e+00,2.704137772345251989e-01,3.698036432266235352e+00
1.000000000000000000e+00,3.602908611297607422e+00,2.775535290749005513e-01,3.602908611297607422e+00
1.000000000000000000e+00,3.593099832534790039e+00,2.783112205637046088e-01,3.593099832534790039e+00
1.000000000000000000e+00,3.652107715606689453e+00,2.738144868308955981e-01,3.652107715606689453e+00
1.000000000000000000e+00,3.675795555114746094e+00,2.720499508218114926e-01,3.675795555114746094e+00
1.000000000000000000e+00,3.643377780914306641e+00,2.744705765178843682e-01,3.643377780914306641e+00
1.000000000000000000e+01,1.254527235031127930e+01,7.971130255894265382e-01,1.254527235031127841e+00
1.000000000000000000e+01,1.226795411109924316e+01,8.151318393792045258e-01,1.226795411109924405e+00
1.000000000000000000e+01,1.254607439041137695e+01,7.970620680874271891e-01,1.254607439041137695e+00
1.000000000000000000e+01,1.306072974205017090e+01,7.656540023031116471e-01,1.306072974205017001e+00
1.000000000000000000e+01,1.300555682182312012e+01,7.689021036931042996e-01,1.300555682182312101e+00
1.000000000000000000e+01,1.232445120811462402e+01,8.113951551380911287e-01,1.232445120811462402e+00
1.000000000000000000e+01,1.231593346595764160e+01,8.119563188320972902e-01,1.231593346595764249e+00
1.000000000000000000e+01,1.228303694725036621e+01,8.141309061386940993e-01,1.228303694725036532e+00
1.000000000000000000e+01,1.222107315063476562e+01,8.182587467353958921e-01,1.222107315063476474e+00
1.000000000000000000e+01,1.232925462722778320e+01,8.110790394348832422e-01,1.232925462722778365e+00
1.000000000000000000e+01,1.227576327323913574e+01,8.146132975535423926e-01,1.227576327323913530e+00
1.000000000000000000e+01,1.238806271553039551e+01,8.072287192624089114e-01,1.238806271553039462e+00
1.000000000000000000e+01,1.253332591056823730e+01,7.978728129592393969e-01,1.253332591056823819e+00
1.000000000000000000e+01,1.233340525627136230e+01,8.108060825225167356e-01,1.233340525627136142e+00
1.000000000000000000e+01,1.239659929275512695e+01,8.066728434018386462e-01,1.239659929275512606e+00
1.000000000000000000e+01,1.241039037704467773e+01,8.057764257357171722e-01,1.241039037704467773e+00
1.000000000000000000e+01,1.245439386367797852e+01,8.029294809090646856e-01,1.245439386367797940e+00
1.000000000000000000e+01,1.223259115219116211e+01,8.174882880973873833e-01,1.223259115219116122e+00
1.000000000000000000e+01,1.225807023048400879e+01,8.157890933869409444e-01,1.225807023048400834e+00
1.000000000000000000e+01,1.224359393119812012e+01,8.167536473517650331e-01,1.224359393119812012e+00
1.000000000000000000e+01,1.233547329902648926e+01,8.106701508396273459e-01,1.233547329902648926e+00
1.000000000000000000e+01,1.232347035408020020e+01,8.114597359897962603e-01,1.232347035408019931e+00
1.000000000000000000e+01,1.236326789855957031e+01,8.088476349497439877e-01,1.236326789855957120e+00
1.000000000000000000e+01,1.246873164176940918e+01,8.020061933565620915e-01,1.246873164176940829e+00
