# of Queries,Total Runtime,Throughput,Latency
1.000000000000000000e+00,3.859894275665283203e+00,2.590744534907351015e-01,3.859894275665283203e+00
1.000000000000000000e+00,3.716003179550170898e+00,2.691063359426543733e-01,3.716003179550170898e+00
1.000000000000000000e+00,3.700209856033325195e+00,2.702549419918613416e-01,3.700209856033325195e+00
1.000000000000000000e+00,3.648333311080932617e+00,2.740977632067610470e-01,3.648333311080932617e+00
1.000000000000000000e+00,3.740696430206298828e+00,2.673298993002888868e-01,3.740696430206298828e+00
1.000000000000000000e+00,3.674927234649658203e+00,2.721142314251381311e-01,3.674927234649658203e+00
1.000000000000000000e+00,3.724166393280029297e+00,2.685164663438300847e-01,3.724166393280029297e+00
1.000000000000000000e+00,3.645299911499023438e+00,2.743258508978974608e-01,3.645299911499023438e+00
1.000000000000000000e+00,3.697950839996337891e+00,2.704200361952324716e-01,3.697950839996337891e+00
1.000000000000000000e+00,3.604034185409545898e+00,2.774668464712036764e-01,3.604034185409545898e+00
1.000000000000000000e+00,3.709198236465454102e+00,2.696000419090336386e-01,3.709198236465454102e+00
1.000000000000000000e+00,3.642868995666503906e+00,2.745089107485290669e-01,3.642868995666503906e+00
1.000000000000000000e+00,3.707365989685058594e+00,2.697332830862350650e-01,3.707365989685058594e+00
1.000000000000000000e+00,3.600606679916381836e+00,2.777309739433198588e-01,3.600606679916381836e+00
1.000000000000000000e+00,3.635831832885742188e+00,2.750402235205429702e-01,3.635831832885742188e+00
1.000000000000000000e+00,3.766483545303344727e+00,2.654996332711874740e-01,3.766483545303344727e+00
1.000000000000000000e+00,3.657630920410156250e+00,2.734010133225423522e-01,3.657630920410156250e+00
1.000000000000000000e+00,3.611037492752075195e+00,2.769287225644038730e-01,3.611037492752075195e+00
1.000000000000000000e+00,3.626259803771972656e+00,2.757662313549121280e-01,3.626259803771972656e+00
1.000000000000000000e+00,3.681993246078491211e+00,2.715920245277610445e-01,3.681993246078491211e+00
1.000000000000000000e+00,3.602271318435668945e+00,2.776026322287857284e-01,3.602271318435668945e+00
1.000000000000000000e+00,3.550090074539184570e+00,2.816829936715912197e-01,3.550090074539184570e+00
1.000000000000000000e+00,3.576111078262329102e+00,2.796333721507081038e-01,3.576111078262329102e+00
1.000000000000000000e+00,3.595259428024291992e+00,2.781440449624330569e-01,3.595259428024291992e+00
1.000000000000000000e+00,3.564021110534667969e+00,2.805819519542581686e-01,3.564021110534667969e+00
1.000000000000000000e+00,3.632314920425415039e+00,2.753065254272832885e-01,3.632314920425415039e+00
