# of Queries,Baseline,Total Runtime,Overhead
1.000000000000000000e+01,2.031116485595703004e-05,9.055446386337280273e+00,4.458348961958511919e+07
1.000000000000000000e+01,2.031116485595703004e-05,8.926566600799560547e+00,4.394896281399957091e+07
1.000000000000000000e+01,2.031116485595703004e-05,8.995981454849243164e+00,4.429071994384396076e+07
1.000000000000000000e+01,2.031116485595703004e-05,8.972482204437255859e+00,4.417502372169895470e+07
1.000000000000000000e+01,2.031116485595703004e-05,8.956940412521362305e+00,4.409850525500286371e+07
1.000000000000000000e+01,2.031116485595703004e-05,8.988080501556396484e+00,4.425182038614317030e+07
1.000000000000000000e+01,2.031116485595703004e-05,8.963281393051147461e+00,4.412972444196113944e+07
1.000000000000000000e+01,2.031116485595703004e-05,8.943996429443359375e+00,4.403477684173952043e+07
1.000000000000000000e+01,2.031116485595703004e-05,8.955192804336547852e+00,4.408990107992374897e+07
1.000000000000000000e+01,2.031116485595703004e-05,9.147825717926025391e+00,4.503831007052370906e+07
1.000000000000000000e+01,2.031116485595703004e-05,9.176037549972534180e+00,4.517720821962831914e+07
1.000000000000000000e+01,2.031116485595703004e-05,9.249546527862548828e+00,4.553912236099503189e+07
1.000000000000000000e+01,2.031116485595703004e-05,9.195149183273315430e+00,4.527130244532299042e+07
1.000000000000000000e+01,2.031116485595703004e-05,8.957942724227905273e+00,4.410344003699912876e+07
1.000000000000000000e+01,2.031116485595703004e-05,8.963228464126586914e+00,4.412946385166542977e+07
1.000000000000000000e+01,2.031116485595703004e-05,8.967256546020507812e+00,4.414929571223318577e+07
1.000000000000000000e+01,2.031116485595703004e-05,8.970647335052490234e+00,4.416598992478095740e+07
1.000000000000000000e+01,2.031116485595703004e-05,9.007454156875610352e+00,4.434720465118463337e+07
1.000000000000000000e+01,2.031116485595703004e-05,8.977251768112182617e+00,4.419850619406698644e+07
1.000000000000000000e+01,2.031116485595703004e-05,8.968078851699829102e+00,4.415334425245799869e+07
1.000000000000000000e+01,2.031116485595703004e-05,8.934853076934814453e+00,4.398976045507047325e+07
1.000000000000000000e+01,2.031116485595703004e-05,8.944865703582763672e+00,4.403905662650602311e+07
1.000000000000000000e+01,2.031116485595703004e-05,8.958255767822265625e+00,4.410498127600033581e+07
1.000000000000000000e+01,2.031116485595703004e-05,8.963499546051025391e+00,4.413079849655833095e+07
1.000000000000000000e+01,2.031116485595703004e-05,9.098359346389770508e+00,4.479476731023861468e+07
1.000000000000000000e+01,2.031116485595703004e-05,9.124555110931396484e+00,4.492373955150297284e+07
1.000000000000000000e+01,2.031116485595703004e-05,8.965447902679443359e+00,4.414039103663288802e+07
1.000000000000000000e+01,2.031116485595703004e-05,8.954091548919677734e+00,4.408447915841072798e+07
1.000000000000000000e+01,2.031116485595703004e-05,8.953546762466430664e+00,4.408179695649316162e+07
1.000000000000000000e+01,2.031116485595703004e-05,8.985138893127441406e+00,4.423733766961845756e+07
5.000000000000000000e+01,9.571301937103271495e-05,4.478110337257385254e+01,4.678674641530254483e+07
5.000000000000000000e+01,9.571301937103271495e-05,4.513211822509765625e+01,4.715348320286861062e+07
5.000000000000000000e+01,9.571301937103271495e-05,4.478336715698242188e+01,4.678911159448449314e+07
5.000000000000000000e+01,9.571301937103271495e-05,4.508540511131286621e+01,4.710467781140591949e+07
5.000000000000000000e+01,9.571301937103271495e-05,4.497637605667114258e+01,4.699076535168184340e+07
5.000000000000000000e+01,9.571301937103271495e-05,4.481552886962890625e+01,4.682271382838937640e+07
5.000000000000000000e+01,9.571301937103271495e-05,4.478551530838012695e+01,4.679135596145965904e+07
5.000000000000000000e+01,9.571301937103271495e-05,4.469930601119995117e+01,4.670128535482046753e+07
5.000000000000000000e+01,9.571301937103271495e-05,4.460069298744201660e+01,4.659825545940398425e+07
5.000000000000000000e+01,9.571301937103271495e-05,4.465288615226745605e+01,4.665278635307803750e+07
5.000000000000000000e+01,9.571301937103271495e-05,4.480136322975158691e+01,4.680791371031723917e+07
5.000000000000000000e+01,9.571301937103271495e-05,4.469146490097045898e+01,4.669309304171508551e+07
5.000000000000000000e+01,9.571301937103271495e-05,4.473297739028930664e+01,4.673646487304131687e+07
5.000000000000000000e+01,9.571301937103271495e-05,4.485230922698974609e+01,4.686114157583954930e+07
5.000000000000000000e+01,9.571301937103271495e-05,4.460713100433349609e+01,4.660498183470150083e+07
5.000000000000000000e+01,9.571301937103271495e-05,4.470757389068603516e+01,4.670992355215288699e+07
5.000000000000000000e+01,9.571301937103271495e-05,4.477059888839721680e+01,4.677577143588421494e+07
5.000000000000000000e+01,9.571301937103271495e-05,4.471383833885192871e+01,4.671646858459158987e+07
5.000000000000000000e+01,9.571301937103271495e-05,4.466282677650451660e+01,4.666317221730255336e+07
5.000000000000000000e+01,9.571301937103271495e-05,4.457464385032653809e+01,4.657103958293633908e+07
5.000000000000000000e+01,9.571301937103271495e-05,4.458812522888183594e+01,4.658512479166121781e+07
5.000000000000000000e+01,9.571301937103271495e-05,4.459282183647155762e+01,4.659003176003457606e+07
5.000000000000000000e+01,9.571301937103271495e-05,4.473566913604736328e+01,4.673927718193695694e+07
5.000000000000000000e+01,9.571301937103271495e-05,4.468616461753845215e+01,4.668755535889321566e+07
5.000000000000000000e+01,9.571301937103271495e-05,4.465787887573242188e+01,4.665800270033964515e+07
5.000000000000000000e+01,9.571301937103271495e-05,4.468751788139343262e+01,4.668896923535837233e+07
5.000000000000000000e+01,9.571301937103271495e-05,4.459031128883361816e+01,4.658740876511242241e+07
5.000000000000000000e+01,9.571301937103271495e-05,4.469264531135559082e+01,4.669432632261343300e+07
5.000000000000000000e+01,9.571301937103271495e-05,4.460406255722045898e+01,4.660177595201887190e+07
5.000000000000000000e+01,9.571301937103271495e-05,4.471851372718811035e+01,4.672135338330225646e+07
1.000000000000000000e+02,2.010091066360473631e-04,8.938696813583374023e+01,4.446901367935197800e+07
1.000000000000000000e+02,2.010091066360473631e-04,8.932701611518859863e+01,4.443918815470363945e+07
1.000000000000000000e+02,2.010091066360473631e-04,8.937874436378479004e+01,4.446492243583243340e+07
1.000000000000000000e+02,2.010091066360473631e-04,8.945182442665100098e+01,4.450127902886904776e+07
1.000000000000000000e+02,2.010091066360473631e-04,8.932080769538879395e+01,4.443609952856937796e+07
1.000000000000000000e+02,2.010091066360473631e-04,8.939630532264709473e+01,4.447365883546933532e+07
1.000000000000000000e+02,2.010091066360473631e-04,8.947072196006774902e+01,4.451068036084499955e+07
1.000000000000000000e+02,2.010091066360473631e-04,8.934453320503234863e+01,4.444790272994697094e+07
1.000000000000000000e+02,2.010091066360473631e-04,8.946166586875915527e+01,4.450617504690168798e+07
1.000000000000000000e+02,2.010091066360473631e-04,8.939687156677246094e+01,4.447394053620162606e+07
1.000000000000000000e+02,2.010091066360473631e-04,8.931187200546264648e+01,4.443165411309757084e+07
1.000000000000000000e+02,2.010091066360473631e-04,8.947187829017639160e+01,4.451125562339304388e+07
1.000000000000000000e+02,2.010091066360473631e-04,8.949933528900146484e+01,4.452491520294372737e+07
1.000000000000000000e+02,2.010091066360473631e-04,8.964483332633972168e+01,4.459729900672914833e+07
1.000000000000000000e+02,2.010091066360473631e-04,8.929915237426757812e+01,4.442532622506904602e+07
1.000000000000000000e+02,2.010091066360473631e-04,8.933934187889099121e+01,4.444532009763332456e+07
1.000000000000000000e+02,2.010091066360473631e-04,8.948742985725402832e+01,4.451899237091553211e+07
1.000000000000000000e+02,2.010091066360473631e-04,8.924193000793457031e+01,4.439685867586659640e+07
1.000000000000000000e+02,2.010091066360473631e-04,8.953798437118530273e+01,4.454414273090534657e+07
1.000000000000000000e+02,2.010091066360473631e-04,8.950152754783630371e+01,4.452600582956832647e+07
1.000000000000000000e+02,2.010091066360473631e-04,8.948219156265258789e+01,4.451638637226746231e+07
1.000000000000000000e+02,2.010091066360473631e-04,8.959870362281799316e+01,4.457434994521959126e+07
1.000000000000000000e+02,2.010091066360473631e-04,8.938343286514282227e+01,4.446725491789580882e+07
1.000000000000000000e+02,2.010091066360473631e-04,8.925447607040405273e+01,4.440310021520750225e+07
1.000000000000000000e+02,2.010091066360473631e-04,8.971351218223571777e+01,4.463146604375814646e+07
1.000000000000000000e+02,2.010091066360473631e-04,8.958238172531127930e+01,4.456622996609035134e+07
1.000000000000000000e+02,2.010091066360473631e-04,8.936460781097412109e+01,4.445788964361358434e+07
1.000000000000000000e+02,2.010091066360473631e-04,8.937286734580993652e+01,4.446199867875833064e+07
1.000000000000000000e+02,2.010091066360473631e-04,8.932378411293029785e+01,4.443758026622913778e+07
1.000000000000000000e+02,2.010091066360473631e-04,8.930205416679382324e+01,4.442676983753755689e+07
