Geofences,Metric,Ref. Alg.,Prop. Alg.
1,Geofencing Recieved Communication (KB),12.139,6.468
,Carer Device Received Communication (KB),2.783,2.783
10,Geofencing Recieved Communication (KB),12.14,6.469
,Carer Device Received Communication (KB),19.343,19.343
100,Geofencing Recieved Communication (KB),12.141,6.47
,Carer Device Received Communication (KB),184.932,184.933
200,Geofencing Recieved Communication (KB),12.141,6.47
,Carer Device Received Communication (KB),368.923,368.921
300,Geofencing Recieved Communication (KB),12.141,6.47
,Carer Device Received Communication (KB),552.91,552.913
